MSZoning,SalePrice
RL,208500
RL,181500
RL,223500
RL,140000
RL,250000
RL,143000
RL,307000
RL,200000
RM,129900
RL,118000
RL,129500
RL,345000
RL,144000
RL,279500
RL,157000
RM,132000
RL,149000
RL,90000
RL,159000
RL,139000
RL,325300
RM,139400
RL,230000
RM,129900
RL,154000
RL,256300
RL,134800
RL,306000
RL,207500
RM,68500
C (all),40000
RL,149350
RL,179900
RL,165500
RL,277500
RL,309000
RL,145000
RL,153000
RL,109000
RL,82000
RL,160000
RL,170000
RL,144000
RL,130250
RL,141000
RL,319900
RL,239686
FV,249700
RM,113000
RL,127000
RL,177000
RM,114500
RM,110000
RL,385000
RL,130000
RL,180500
FV,172500
RL,196500
RL,438780
RL,124900
RL,158000
RM,101000
RL,202500
RM,140000
RL,219500
RL,317000
RL,180000
RL,226000
RM,80000
RL,225000
RL,244000
RL,129500
RL,185000
RL,144900
RM,107400
RM,91000
RL,135750
RM,127000
RL,136500
RM,110000
RL,193500
RM,153500
RL,245000
RL,126500
RL,168500
RL,260000
RL,174000
FV,164500
C (all),85000
RL,123600
RL,109900
RL,98600
RL,163500
C (all),133900
RL,204750
RL,185000
RL,214000
RL,94750
RL,83000
RL,128950
RL,205000
RL,178000
RL,118964
RL,198900
RM,169500
FV,250000
RM,100000
RM,115000
RM,115000
RL,190000
RL,136900
RL,180000
RL,383970
RL,217000
RL,259500
FV,176000
RL,139000
RL,155000
RL,320000
RL,163990
RL,180000
RM,100000
RL,136000
RL,153900
RL,181000
RM,84500
RL,128000
RM,87000
RL,155000
RL,150000
RL,226000
RL,244000
RL,150750
RL,220000
RL,180000
RL,174000
RL,143000
RL,171000
RL,230000
RL,231500
RL,115000
RL,260000
RL,166000
RL,204000
RM,125000
RM,130000
RM,105000
RL,222500
RL,141000
RM,115000
RL,122000
RL,372402
RL,190000
RL,235000
RM,125000
RL,79000
RL,109500
RL,269500
FV,254900
RL,320000
RL,162500
RL,412500
RL,220000
RL,103200
RM,152000
RL,127500
RL,190000
RL,325624
RL,183500
RL,228000
RM,128500
RL,215000
RL,239000
RL,163000
RL,184000
RL,243000
RL,211000
RL,172500
RL,501837
RM,100000
